region,n,coef_motion,se_motion,p_motion,aic_base,aic_motion,delta_aic,p_fdr,sig_fdr
lh_bankssts,415,-0.054527544584515676,0.01766327275377623,0.002021482608440511,-461.9838790418757,-469.4966875981281,7.512808556252423,0.010521787356614439,True
lh_caudalanteriorcingulate,415,-0.02836951486639696,0.027012361174403414,0.2936068870417601,-117.79455637293542,-116.90680758073164,-0.8877487922037801,0.43976256255010393,False
lh_caudalmiddlefrontal,415,-0.03255722768484746,0.01728050570020502,0.059559066294121187,-486.1119398868827,-487.68071781945696,1.5687779325742781,0.1350005502666747,False
lh_cuneus,415,0.017162664413337574,0.016078640410319926,0.28578216310546867,-548.3643100485739,-547.5131929436545,-0.8511171049193536,0.43976256255010393,False
lh_entorhinal,415,-0.17815667419863476,0.041387068972977725,1.672530842260865e-05,253.53333576888488,237.23253430266087,16.300801466224016,0.00044059391141646186,True
lh_fusiform,415,-0.05706438697128339,0.01577659833334989,0.0002980058762505387,-552.2489810583718,-563.253300185171,11.00431912679926,0.002533049948129579,True
lh_inferiorparietal,415,-0.018111778740305843,0.014736771269946667,0.21906450810784672,-620.3218890375526,-619.8442826977932,-0.47760633975940436,0.36332650125203847,False
lh_inferiortemporal,415,-0.0650794654342338,0.017544921072242304,0.00020782885790338978,-463.4113967794525,-475.07676740303674,11.665370623584238,0.0020255461128327818,True
lh_isthmuscingulate,414,-0.015061385866343882,0.017685744921986053,0.39442968861320693,-495.03366453255586,-493.7653354874701,-1.2683290450857498,0.5364243765139614,False
lh_lateraloccipital,415,-0.0021367545921595326,0.013367555335286482,0.8730021312884745,-702.7561746306112,-700.7819733463057,-1.9742012843055363,0.9110862928759588,False
lh_lateralorbitofrontal,415,-0.04584623208839964,0.017472718530586184,0.008693564420423912,-473.6053677346048,-478.4995106364742,4.894142901869429,0.0295581190294413,True
lh_lingual,415,-0.010562312688742907,0.013371748487498999,0.42958754470030147,-701.8921257263444,-700.5216586883039,-1.3704670380404878,0.5558661616508981,False
lh_medialorbitofrontal,415,-0.03115694050128093,0.01694190381186624,0.06590841994262188,-502.7045225999066,-504.1055542114374,1.4010316115307546,0.1445733082612351,False
lh_middletemporal,415,-0.07191363414126217,0.017213963583615512,2.945575392456384e-05,-475.62438620344295,-490.88297177060656,15.258585567163607,0.0005007478167175853,True
lh_parahippocampal,415,-0.11008195105197462,0.03348623033663212,0.0010112441450190956,70.18122045178046,61.4101742084065,8.77104624337396,0.006876460186129849,True
lh_paracentral,415,-0.04589420332684708,0.018239458009193393,0.011862638487581232,-438.50971462950235,-442.8538771332677,4.344162503765347,0.03841235319788208,True
lh_parsopercularis,415,-0.0322943808709433,0.014808757517720138,0.029200998539645643,-613.0253261604187,-615.799765213593,2.7744390531743193,0.07942671602783614,False
lh_parsorbitalis,415,0.008592974735862525,0.02340722536049586,0.7135386179473974,-237.66811047251525,-235.80416790721034,-1.8639425653049102,0.7954200986954594,False
lh_parstriangularis,415,-0.030457595508661246,0.017170393184171018,0.07608899075075166,-491.8214096497527,-492.9864545339408,1.1650448841880916,0.16168910534534728,False
lh_pericalcarine,415,0.02646383585837617,0.017433492411192787,0.12901737204992828,-480.0447327953034,-480.36494901681203,0.3202162215086446,0.2436994805387534,False
lh_postcentral,415,-0.011864669274713966,0.014542714359267796,0.414586098708261,-632.1749523704846,-630.8464974473555,-1.3284549231290157,0.552781464944348,False
lh_posteriorcingulate,413,0.006899438495898092,0.016638967367435864,0.6783941498746653,-575.3345668394047,-573.5081510538519,-1.8264157855528538,0.7715255443819491,False
lh_precentral,415,-0.058558160912994886,0.016442463491726532,0.00036888504467237534,-518.3281548320467,-528.9415136248786,10.613358792831832,0.002787131448635725,True
lh_precuneus,415,-0.021715799054306505,0.014591884703968027,0.13669533442500215,-627.8145973873327,-628.0449195186114,0.23032213127874002,0.2512238578621661,False
lh_rostralanteriorcingulate,415,-0.04232897558886539,0.025295475858818497,0.09425226211289622,-170.59422725270434,-171.41209631929698,0.8178690665926354,0.19421678253566493,False
lh_rostralmiddlefrontal,415,-0.021169852903043435,0.013676561754208325,0.12164808315255649,-681.4017007511801,-681.8139671804109,0.41226642923084,0.23634484726782407,False
lh_superiorfrontal,415,-0.04688188380377588,0.016234554843374747,0.0038796648989334642,-533.1672953009204,-539.5034630041525,6.3361677032321495,0.016488575820467224,True
lh_superiorparietal,415,-0.005455418286992416,0.01618825988616899,0.7361180780003886,-543.7590403333975,-541.8736977240136,-1.8853426093838834,0.807355311355265,False
lh_superiortemporal,415,-0.059734120168244836,0.018322633776052505,0.0011136218505290074,-430.4820520639334,-439.0775064599675,8.595454396034086,0.006884207803270227,True
lh_supramarginal,415,-0.0019314407156989554,0.01502101592543552,0.8976879650395476,-605.9708827668269,-603.9875768161066,-1.9833059507202506,0.9110862928759588,False
lh_frontalpole,415,-0.028801214115685335,0.02939639123131988,0.3272078621718282,-47.739488968984276,-46.707617815773574,-1.0318711532107017,0.46354447141008986,False
lh_temporalpole,415,-0.15308447908550077,0.035840667470627,1.9437966680138024e-05,133.83175916356723,117.80775452692717,16.024004636640058,0.00044059391141646186,True
lh_transversetemporal,415,-0.06075218865949366,0.026716488751473845,0.02296847738905601,-122.85949751264138,-126.04813830792577,3.1886407952843854,0.06507735260232536,False
lh_insula,415,-0.05603906882885513,0.018887078394305652,0.003006636253770558,-407.09931396103894,-413.89456657656234,6.795252615523395,0.01363008435042653,True
rh_bankssts,415,-0.06764081985295303,0.018239529416662886,0.00020851209985043342,-431.1912807798438,-442.8506276900204,11.659346910176623,0.0020255461128327818,True
rh_caudalanteriorcingulate,415,-0.0015718601619662412,0.024738646345294005,0.9493375841102546,-191.88291493347913,-189.88699136444365,-1.995923569035483,0.9493375841102546,False
rh_caudalmiddlefrontal,415,0.01186027098061078,0.01720051837469377,0.490489890786281,-493.05170705718996,-491.5315082783678,-1.5201987788221345,0.5955948673833412,False
rh_cuneus,415,-0.006312850131911965,0.015343708854989814,0.6807578332781904,-588.1748237582235,-586.3457100068993,-1.8291137513242575,0.7715255443819491,False
rh_entorhinal,415,-0.10184975292876411,0.044182440057709806,0.021154878078442726,294.811766852354,291.4804528338448,3.331314018509204,0.06323654124366139,False
rh_fusiform,415,-0.03340304386526252,0.016625138268921154,0.04451710064607563,-517.7148707890665,-519.771111213334,2.056240424267571,0.10438492565286699,False
rh_inferiorparietal,415,-0.0067283141165852866,0.014477354652397864,0.6421123012691041,-636.3671612057332,-634.585196235842,-1.7819649698911917,0.7528213187292945,False
rh_inferiortemporal,415,-0.037715179209383956,0.01843938354935118,0.04081937048291258,-431.60275822228834,-433.8056174467215,2.202859224433155,0.0991327568870734,False
rh_isthmuscingulate,415,-0.010805655095845324,0.01874850910070048,0.5643803677879438,-421.67122256971663,-420.0064963250236,-1.6647262446930426,0.6732958773610557,False
rh_lateraloccipital,415,0.018467578164784976,0.014202799453091199,0.19350593467838506,-650.7731925032579,-650.4768665629683,-0.29632594028953463,0.32896008895325457,False
rh_lateralorbitofrontal,415,-0.02520798458754844,0.015428846153223885,0.10229628174943545,-581.0663995881932,-581.7530372299019,0.6866376417086713,0.2045925634988709,False
rh_lingual,415,-0.016773290722860632,0.012106830847229263,0.16591789153293757,-783.0687416176611,-783.0023553657538,-0.06638625190726088,0.2969057006378883,False
rh_medialorbitofrontal,415,-0.01802721427327544,0.017303266993878554,0.29748643937212915,-487.4936423453902,-486.5881894453038,-0.9054529000864022,0.43976256255010393,False
rh_middletemporal,415,-0.04626863770989071,0.017303837343842745,0.007497600555673026,-481.40360959401954,-486.5608314516561,5.157221857636557,0.026833517778198198,True
rh_parahippocampal,415,-0.09356608254887923,0.02907883261252896,0.0012923648935274099,-47.39793110560794,-55.722589539513685,8.324658433905746,0.0073234010633219885,True
rh_paracentral,415,-0.036887546416937166,0.017224593938352534,0.03222869489894886,-487.7652911058542,-490.3705696639662,2.6052785581119906,0.08429043281263549,False
rh_parsopercularis,415,-0.012884075537777706,0.016441221032777193,0.4332486259926117,-530.3846213007432,-529.0042341468246,-1.3803871539186048,0.5558661616508981,False
rh_parsorbitalis,415,-0.02774223117651267,0.020744175431784636,0.18110828880506913,-336.24894723550483,-336.0509417567548,-0.1980054787500194,0.3157785548396077,False
rh_parstriangularis,415,-0.002292987345086127,0.015806709431086884,0.8846601991534859,-563.649430318606,-561.6706781950801,-1.9787521235259646,0.9110862928759588,False
rh_pericalcarine,415,0.015380820568061518,0.016906771388136125,0.3629579475568425,-506.9936649185547,-505.8285121703491,-1.165152748205628,0.5036967435482712,False
rh_postcentral,415,0.011153950951481317,0.015475658404233861,0.47106850644118925,-580.7143760351291,-579.2385689599323,-1.4758070751968262,0.5824119716000158,False
rh_posteriorcingulate,415,0.011819060954691478,0.01618013155596071,0.4651044450271631,-543.7521294733774,-542.2905558942289,-1.461573579148535,0.5824119716000158,False
rh_precentral,415,-0.038794575177045355,0.016859513117178197,0.021388830126532532,-504.8395843481793,-508.1517995015197,3.3122151533403894,0.06323654124366139,False
rh_precuneus,415,-0.016791351594209372,0.014980967220723038,0.26235357876954346,-606.9368731352895,-606.2034599790873,-0.7334131562022321,0.41488472921695246,False
rh_rostralanteriorcingulate,415,-0.0294738933418287,0.02629158118242563,0.2622711735231872,-140.08779927664767,-139.3548229950152,-0.7329762816324603,0.41488472921695246,False
rh_rostralmiddlefrontal,415,-0.013300787111055059,0.013246692276088967,0.315338296230645,-709.3038197837552,-708.320569231208,-0.983250552547247,0.4562341307166779,False
rh_superiorfrontal,415,-0.03207642703420129,0.015246217181268635,0.035387681993817754,-589.1906800605581,-591.6362336298762,2.445553569318122,0.08912453242887435,False
rh_superiorparietal,415,-0.0038276332421127886,0.016414649421522813,0.8156185470126721,-532.2918301094865,-530.3467304401452,-1.945099669341289,0.8665947062009641,False
rh_superiortemporal,415,-0.08316173801643438,0.01830139043452545,5.519350986838373e-06,-421.69817779950534,-440.04037036282375,18.342192563318406,0.00037531586710500936,True
rh_supramarginal,415,-0.04262936186418632,0.015145559935616344,0.004883127016859405,-591.2109513688855,-597.1341562455877,5.923204876702243,0.01891342546005763,True
rh_frontalpole,415,0.006779597288723576,0.02699666056272353,0.8017157237205332,-119.32570162121817,-117.38937540522662,-1.9363262159915564,0.8653439557618453,False
rh_temporalpole,415,-0.14825331631335986,0.03904891355056767,0.0001466910051755774,201.27027421536553,188.9651836645022,12.305090550863326,0.0019949976703878525,True
rh_transversetemporal,415,-0.0750969035431349,0.02675710357619915,0.005006494974721137,-118.90882320777796,-124.78731742281369,5.8784942150357296,0.01891342546005763,True
rh_insula,415,-0.06175756991125565,0.020139833445135983,0.002166250338126502,-353.20304871973144,-360.59062862065866,7.387579900927221,0.010521787356614439,True
